id,title,view_count,upload_date,duration,channel,elapsed_days,views_per_day,included,exclusion_reasons,published_mark,own_row,own_title,match_basis,source_file,sha256
m2CCN5YAbdM,噴火5秒後…全滅。15の事例に学ぶ2025年総集編②【自然災害特集】,83046,20251213,22048,生きて山から帰るには【山岳遭難解説】,273,304.1978021978022,False,['総集編'],,,,,video_full_default_m2CCN5YAbdM.json,5d025615d6fa271810c364ed3a974e1f498ee40c942ca1f45bcbd2bd753ec50c
ndTHk_DLlIc,【広告なし】睡眠・作業用遭難事例3選①,,20250521,3732,生きて山から帰るには【山岳遭難解説】,479,,False,"['メンバーシップ限定', '複数選']",,,,,video_full_default_ndTHk_DLlIc.json,972867c335aa55c68106ea38aae18b175c857a60ed394c70e2861612ab4548e0
o6QLkUtV1mE,そんな準備で大丈夫か！？行く前に○○！登山準備最新版 2025年総集編③,150454,20251220,21394,生きて山から帰るには【山岳遭難解説】,266,565.6165413533835,False,['総集編'],,,,,video_full_default_o6QLkUtV1mE.json,d490c1682fc091438989e2aec8a0b4cbfeaf8ad3e80fbf1984c957da9256e66d
oMBStpvOLjo,経験が生む落とし穴…戻らなかったベテラン達…【ベテラン登山者の遭難4選】【地図とアニメで解説】,418084,20250811,5136,生きて山から帰るには【山岳遭難解説】,397,1053.1083123425692,False,['複数選'],,,,,video_full_default_oMBStpvOLjo.json,85921f337ec35fc252e15d8e59bf07d72dca4553acc6db70ba6d292881db39a3
oTIio_7mDp4,【広告なし】睡眠・作業用遭難事例4選④,,20250815,6560,生きて山から帰るには【山岳遭難解説】,393,,False,"['メンバーシップ限定', '複数選']",,,,,video_full_default_oTIio_7mDp4.json,c49495ed5f758bf1f9845b2657ad75a379819d88475e4b7cfb8f9c020c0e4651
opG5qaVZfTw,【富士山遭難4選】「あ、滑る」カメラが映す最期の瞬間...2019年 ニコ生主富士山滑落事故【地図とアニメで解説】,663394,20250315,5354,生きて山から帰るには【山岳遭難解説】,546,1215.007326007326,False,['複数選'],,,,,video_full_default_opG5qaVZfTw.json,0df1170d0a57e490c14abcebac028a88c81031feb4a6f17adc5f373a9f022aaf
pdc2280wFxw,「歩きに行ってくる♪」146日後…死後わかった本当の理由 エマ・ゲイトウッド アパラチアン・トレイル単独踏破【地図とアニメで解説】,330315,20260607,1246,生きて山から帰るには【山岳遭難解説】,97,3405.3092783505153,False,['エマ・ゲイトウッドの踏破・人物史で事件ではない'],,,,,video_full_default_pdc2280wFxw.json,e2ab9786a324325ea6289d97f03de5fdfc35467c677862d2485a2e478f90395b
rGSbXrU3cd4,無計画な初心者、30人道迷い、落雷、骨折…シニア登山の闇…【高齢者遭難4選】,151433,20251122,5354,生きて山から帰るには【山岳遭難解説】,294,515.078231292517,False,['複数選'],,,,,video_full_default_rGSbXrU3cd4.json,16a5da28f4c34128e85a000af6c8b0d5f8a11858a593174214ff85a87ae9b8bc
tYuDPC82lJc,わかっているのに戻れない…人はなぜ「死」を選ぶのか？ 2025年総集編①【遭難心理学特集】,170329,20251206,8680,生きて山から帰るには【山岳遭難解説】,280,608.3178571428572,False,['総集編'],,,,,video_full_default_tYuDPC82lJc.json,ce4998930363e8ae9abd27d7180bcebaa27fa8ed385e84cba5b087fb24f2a332
uePcLYDDap4,【広告なし】睡眠・作業用遭難事例4選⑥,,20251206,6738,生きて山から帰るには【山岳遭難解説】,280,,False,"['メンバーシップ限定', '複数選']",,,,,video_full_default_uePcLYDDap4.json,907dcc52b6462eaca25dd7fe576273ebb9999c3f4344d02f5188f7c598678842
umKNYeQ5fHM,広告なし【スミレの朗読】『日記帳』(江戸川 乱歩),,20260107,1583,生きて山から帰るには【山岳遭難解説】,248,,False,"['メンバーシップ限定', '朗読']",,,,,video_full_default_umKNYeQ5fHM.json,f71a4e7d95efe2450714e9a7b8c395217682765cdcf661b9c8c047058a8da813
vPQZvwpoLgE,広告なし【スミレの朗読】槍が岳に登った記（芥川龍之介）,,20250427,698,生きて山から帰るには【山岳遭難解説】,503,,False,"['メンバーシップ限定', '朗読']",,,,,video_full_default_vPQZvwpoLgE.json,546d3e923bcecb914284841f24db9875bef848001eb023910752f1c86eb1df22
wsh_nVII4U8,親子で低山で富士山で…迷い続ける登山者たち【道迷い遭難5選】【地図とアニメで解説】,378123,20250922,6532,生きて山から帰るには【山岳遭難解説】,355,1065.1352112676057,False,['複数選'],,,,,video_full_default_wsh_nVII4U8.json,10554ffa69df8e7dce5d2029654715d8188b3967e9184489c0c218bb226bbc1b
xRzetHX4Q8A,【直撃】推定50t 史上最大級の巨大噴石 阿蘇山噴火1953年4月/1958年6月/1979年9月 【地図とアニメで解説】,520543,20250209,1363,生きて山から帰るには【山岳遭難解説】,580,897.4879310344828,False,['阿蘇山1953年・1958年・1979年の複数噴火'],,,,,video_full_default_xRzetHX4Q8A.json,8983d7475bbf5b55c062e5e221e177eda9cfb26af6ea0e870ae0f16a1d679be5
yNVfFqLp7rA,9日間で9名死亡…止まらない“死のドミノ”奥秩父連続遭難事故 2010年【地図とアニメで解説】,1013330,20250427,1346,生きて山から帰るには【山岳遭難解説】,503,2014.572564612326,False,['2010年奥秩父の9日間に起きた複数の遭難事故'],,,,,video_full_default_yNVfFqLp7rA.json,0fc420f5bb4327ef6a5dde43d71bf78027be7493e5cfd39c1d9c1d9a0eff7c89
yXF96jAeA4g,【広告なし】睡眠・作業用遭難事例5選⑧,,20260206,7292,生きて山から帰るには【山岳遭難解説】,218,,False,"['メンバーシップ限定', '複数選']",,,,,video_full_default_yXF96jAeA4g.json,c91f09c482ba0256cc2fe10e50c13b7bf8e78c87424bf19af8282597dd07d52e
ydoKlPR_zVg,広告なし【スミレの朗読】『走れメロス』(太宰 治),,20251006,1551,生きて山から帰るには【山岳遭難解説】,341,,False,"['メンバーシップ限定', '朗読']",,,,,video_full_default_ydoKlPR_zVg.json,40f1d327525c1ee06fa456f4c44864b6f9a0db4057f9a542f7e54e9b8020c984
zT_y8xyNfBo,【広告なし】睡眠・作業用遭難事例4選⑤,,20250921,6642,生きて山から帰るには【山岳遭難解説】,356,,False,"['メンバーシップ限定', '複数選']",,,,,video_full_default_zT_y8xyNfBo.json,378e701a58d880239c37b47e0fe21e261c3f56928c0b87105caa67ac6cf38fbe
